#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0 -120.0   80.0   6.12  0.206132
2017 219  0.0 -115.0   80.0   6.07  0.204261
2017 219  0.0 -110.0   80.0   6.01  0.202248
2017 219  0.0 -105.0   80.0   5.94  0.200111
2017 219  0.0 -100.0   80.0   5.87  0.197874
2017 219  0.0  -95.0   80.0   5.80  0.195557
2017 219  0.0  -90.0   80.0   5.72  0.193183
2017 219  0.0  -85.0   80.0   5.64  0.190773
2017 219  0.0  -80.0   80.0   5.56  0.188348
2017 219  0.0  -75.0   80.0   5.48  0.185928
2017 219  0.0  -70.0   80.0   5.40  0.183532
2017 219  0.0  -65.0   80.0   5.32  0.181178
2017 219  0.0  -60.0   80.0   5.25  0.178885
2017 219  0.0  -55.0   80.0   5.17  0.176673
2017 219  0.0  -50.0   80.0   5.10  0.174561
2017 219  0.0  -45.0   80.0   5.03  0.172566
2017 219  0.0  -40.0   80.0   4.97  0.170709
2017 219  0.0  -35.0   80.0   4.91  0.169007
2017 219  0.0  -30.0   80.0   4.86  0.167479
2017 219  0.0  -25.0   80.0   4.81  0.166140
2017 219  0.0  -20.0   80.0   4.77  0.165006
2017 219  0.0  -15.0   80.0   4.73  0.164092
2017 219  0.0  -10.0   80.0   4.71  0.163406
2017 219  0.0   -5.0   80.0   4.69  0.162963
2017 219  0.0    0.0   80.0   4.68  0.162765
2017 219  0.0    5.0   80.0   4.68  0.162818
2017 219  0.0   10.0   80.0   4.69  0.163124
2017 219  0.0   15.0   80.0   4.70  0.163681
2017 219  0.0   20.0   80.0   4.72  0.164483
2017 219  0.0   25.0   80.0   4.75  0.165523
2017 219  0.0   30.0   80.0   4.79  0.166791
2017 219  0.0   35.0   80.0   4.83  0.168273
2017 219  0.0   40.0   80.0   4.87  0.169949
2017 219  0.0   45.0   80.0   4.93  0.171802
2017 219  0.0   50.0   80.0   4.98  0.173809
2017 219  0.0   55.0   80.0   5.04  0.175943
2017 219  0.0   60.0   80.0   5.11  0.178177
2017 219  0.0   65.0   80.0   5.17  0.180483
2017 219  0.0   70.0   80.0   5.24  0.182830
2017 219  0.0   75.0   80.0   5.30  0.185185
2017 219  0.0   80.0   80.0   5.37  0.187517
2017 219  0.0   85.0   80.0   5.44  0.189795
2017 219  0.0   90.0   80.0   5.50  0.191990
2017 219  0.0   95.0   80.0   5.56  0.194073
2017 219  0.0  100.0   80.0   5.62  0.196023
2017 219  0.0  105.0   80.0   5.68  0.197826
2017 219  0.0  110.0   80.0   5.73  0.199479
2017 219  0.0  115.0   80.0   5.79  0.200991
2017 219  0.0  120.0   80.0   5.84  0.202385
2017 219  0.0  125.0   80.0   5.88  0.203681
2017 219  0.0  130.0   80.0   5.93  0.204901
2017 219  0.0  135.0   80.0   5.97  0.206063
2017 219  0.0  140.0   80.0   6.02  0.207176
2017 219  0.0  145.0   80.0   6.06  0.208245
