vTEC sTEC IonoDelay err_vTEC err_sTEC 
28.490111 51.377454 8.342283 0.000000 -0.000000 
33.842262 48.967824 7.951025 0.000000 0.000000 
39.825491 48.841733 7.930552 0.000000 -0.000000 
45.528517 50.337730 8.173460 -0.000000 0.000000 
50.389738 53.508088 8.688239 -0.000000 -0.000000 
54.255007 58.972682 9.575539 -0.000000 -0.000000 
63.076303 72.458362 11.765242 -0.000000 -0.000000 
66.672850 87.385244 14.188956 -0.000000 -0.000000 
69.436731 108.718594 17.652904 -0.000000 0.000000 
70.643839 137.167195 22.272173 0.000000 0.000000 
69.407075 167.739672 27.236301 0.000000 -0.000000 
65.456210 181.406601 29.455434 0.000000 0.000000 
22.855588 60.097800 9.758227 -0.000000 -0.000000 
24.925174 54.064611 8.778603 0.000000 -0.000000 
28.698186 49.755899 8.078987 0.000000 0.000000 
33.631277 47.829005 7.766113 -0.000000 -0.000000 
39.123737 47.660785 7.738798 0.000000 0.000000 
44.650190 48.841988 7.930593 -0.000000 -0.000000 
49.867991 51.382984 8.343181 0.000000 0.000000 
54.652388 55.653321 9.036566 -0.000000 -0.000000 
59.037118 62.339624 10.122237 -0.000000 0.000000 
75.839350 86.546650 14.052791 -0.000000 -0.000000 
81.326671 105.409081 17.115530 -0.000000 0.000000 
85.704660 131.540100 21.358488 -0.000000 -0.000000 
88.072979 165.896115 26.936958 -0.000000 0.000000 
87.301057 203.977552 33.120334 0.000000 -0.000000 
82.365409 224.904157 36.518238 0.000000 0.000000 
22.951823 62.803842 10.197614 0.000000 0.000000 
24.890050 58.431333 9.487638 -0.000000 -0.000000 
28.463411 53.889038 8.750095 -0.000000 0.000000 
33.287366 51.317541 8.332555 0.000000 -0.000000 
38.938404 50.645994 8.223514 0.000000 -0.000000 
45.026573 51.512504 8.364211 0.000000 0.000000 
51.265552 53.832869 8.740975 -0.000000 0.000000 
57.505749 57.838539 9.391385 0.000000 -0.000000 
63.707831 64.044424 10.399050 -0.000000 0.000000 
69.856741 73.244932 11.892959 0.000000 -0.000000 
94.884492 110.277547 17.906035 0.000000 0.000000 
100.940180 132.048380 21.441019 0.000000 0.000000 
105.609851 161.128132 26.162769 0.000000 -0.000000 
108.303547 198.875383 32.291883 -0.000000 -0.000000 
108.341783 243.008466 39.457879 0.000000 0.000000 
104.816843 277.655224 45.083558 0.000000 0.000000 
25.433153 70.051307 11.374402 -0.000000 0.000000 
28.158698 68.082265 11.054684 -0.000000 -0.000000 
32.285828 64.243182 10.431323 0.000000 -0.000000 
37.589157 61.575281 9.998129 -0.000000 0.000000 
43.799018 60.692742 9.854829 -0.000000 0.000000 
50.644080 61.456405 9.978827 0.000000 0.000000 
57.895034 63.777208 10.355661 0.000000 0.000000 
65.381657 67.774933 11.004782 0.000000 -0.000000 
72.978301 73.779355 11.979734 0.000000 -0.000000 
80.562106 82.321748 13.366784 0.000000 0.000000 
87.957104 94.150345 15.287422 -0.000000 -0.000000 
111.802877 135.677304 22.030256 0.000000 -0.000000 
116.590413 157.948073 25.646415 -0.000000 -0.000000 
120.060031 187.137331 30.385946 -0.000000 -0.000000 
122.070914 224.871936 36.513007 -0.000000 0.000000 
122.521545 270.534978 43.927426 0.000000 -0.000000 
121.170130 313.965368 50.979325 0.000000 0.000000 
30.649758 85.161958 13.827956 0.000000 0.000000 
34.175188 85.890981 13.946329 0.000000 0.000000 
38.949457 82.641095 13.418637 0.000000 -0.000000 
44.889550 79.549516 12.916650 -0.000000 0.000000 
51.781383 78.056839 12.674280 0.000000 -0.000000 
59.359321 78.280308 12.710565 -0.000000 0.000000 
67.360897 80.114822 13.008440 0.000000 -0.000000 
75.546793 83.556283 13.567238 0.000000 -0.000000 
83.700401 88.753764 14.411166 -0.000000 0.000000 
91.616583 96.007601 15.588989 -0.000000 -0.000000 
99.087506 105.774696 17.174896 -0.000000 -0.000000 
105.893170 118.699296 19.273495 -0.000000 0.000000 
117.794625 153.046349 24.850510 0.000000 0.000000 
120.918246 174.016722 28.255521 0.000000 -0.000000 
123.164788 201.390872 32.700329 -0.000000 -0.000000 
124.611872 236.658636 38.426842 0.000000 0.000000 
125.402183 279.659637 45.409020 -0.000000 0.000000 
125.712289 323.716605 52.562657 0.000000 -0.000000 
125.426772 349.594047 56.764441 -0.000000 0.000000 
41.136954 107.864976 17.514300 -0.000000 0.000000 
45.788515 104.674051 16.996182 -0.000000 0.000000 
51.647024 100.570035 16.329803 -0.000000 0.000000 
58.490592 97.791799 15.878694 0.000000 -0.000000 
65.996178 96.744907 15.708707 0.000000 -0.000000 
73.834011 97.316851 15.801575 -0.000000 0.000000 
81.701193 99.389244 16.138075 0.000000 -0.000000 
89.333504 102.961241 16.718069 -0.000000 0.000000 
96.509905 108.164449 17.562926 -0.000000 0.000000 
103.054150 115.263787 18.715663 -0.000000 -0.000000 
108.834802 124.671776 20.243261 0.000000 0.000000 
113.763935 136.985189 22.242620 -0.000000 0.000000 
114.785483 163.732592 26.585662 -0.000000 -0.000000 
117.689244 187.326743 30.416702 0.000000 -0.000000 
119.907852 218.748264 35.518691 -0.000000 0.000000 
121.522135 258.953741 42.046953 0.000000 -0.000000 
122.731134 304.561103 49.452332 0.000000 0.000000 
123.920256 341.157525 55.394582 0.000000 0.000000 
47.768232 125.642953 20.400954 0.000000 0.000000 
52.369379 120.155436 19.509932 0.000000 -0.000000 
58.517599 114.640486 18.614456 0.000000 0.000000 
65.721408 111.169331 18.050836 -0.000000 -0.000000 
73.436725 109.882088 17.841824 0.000000 0.000000 
81.189949 110.542703 17.949089 -0.000000 -0.000000 
88.608247 113.030480 18.353036 0.000000 0.000000 
95.427482 117.431205 19.067592 -0.000000 0.000000 
101.489615 124.042961 20.141159 -0.000000 0.000000 
106.729055 133.387325 21.658426 -0.000000 0.000000 
111.148042 146.247615 23.746583 -0.000000 0.000000 
110.602805 177.523685 28.824955 0.000000 -0.000000 
114.099443 206.817379 33.581444 0.000000 0.000000 
116.807832 245.670522 39.890124 0.000000 -0.000000 
118.835005 291.743186 47.371055 0.000000 -0.000000 
120.441175 330.674923 53.692497 -0.000000 -0.000000 
49.895949 137.770482 22.370130 -0.000000 -0.000000 
53.133655 132.131671 21.454543 -0.000000 -0.000000 
58.699576 125.227630 20.333517 0.000000 0.000000 
65.774034 120.722800 19.602056 0.000000 -0.000000 
73.510829 119.133375 19.343978 0.000000 0.000000 
81.264992 120.254592 19.526032 -0.000000 -0.000000 
88.604687 124.048583 20.142072 -0.000000 -0.000000 
95.282757 130.814597 21.240686 -0.000000 0.000000 
101.190393 141.210068 22.928624 -0.000000 0.000000 
106.298413 156.282434 25.375961 0.000000 -0.000000 
106.045706 195.806886 31.793643 0.000000 0.000000 
109.820564 230.804183 37.476240 -0.000000 -0.000000 
113.126667 275.417454 44.720206 -0.000000 -0.000000 
116.247134 317.798811 51.601771 0.000000 0.000000 
53.563709 142.697774 23.170187 -0.000000 0.000000 
58.685575 137.005194 22.245869 0.000000 -0.000000 
65.838239 132.908143 21.580620 0.000000 -0.000000 
73.835759 132.194868 21.464804 0.000000 0.000000 
81.825705 135.120670 21.939874 0.000000 0.000000 
89.266405 141.951764 23.049055 0.000000 0.000000 
95.851870 153.394182 24.906989 -0.000000 -0.000000 
101.444736 170.716496 27.719655 -0.000000 0.000000 
97.409406 209.805778 34.066678 0.000000 -0.000000 
