vTEC sTEC IonoDelay err_vTEC err_sTEC 
6.631073 15.566961 2.527646 -0.000000 -0.000000 
7.583068 14.356827 2.331153 0.000000 0.000000 
8.868241 13.671743 2.219914 -0.000000 -0.000000 
10.373760 13.492833 2.190864 -0.000000 -0.000000 
11.995737 13.723684 2.228348 -0.000000 -0.000000 
13.657892 14.341863 2.328723 0.000000 -0.000000 
15.320372 15.409032 2.502002 -0.000000 -0.000000 
16.972697 17.062370 2.770459 0.000000 0.000000 
18.610856 19.513520 3.168458 0.000000 -0.000000 
25.278615 29.379550 4.770429 0.000000 -0.000000 
26.891939 35.179618 5.712201 -0.000000 -0.000000 
28.136007 42.926889 6.970144 0.000000 -0.000000 
28.853647 52.983308 8.603029 0.000000 -0.000000 
28.863834 64.741006 10.512156 0.000000 -0.000000 
27.924738 73.971409 12.010919 0.000000 -0.000000 
6.775763 18.662692 3.030307 0.000000 -0.000000 
7.501889 18.138110 2.945129 -0.000000 0.000000 
8.601416 17.115322 2.779057 0.000000 0.000000 
10.014301 16.404555 2.663648 -0.000000 -0.000000 
11.668698 16.169433 2.625470 0.000000 0.000000 
13.492323 16.372884 2.658505 -0.000000 0.000000 
15.424083 16.991180 2.758899 -0.000000 0.000000 
17.418629 18.056232 2.931835 -0.000000 0.000000 
19.442486 19.655898 3.191576 -0.000000 0.000000 
21.462922 21.931717 3.561106 0.000000 -0.000000 
23.433058 25.083027 4.072793 -0.000000 0.000000 
29.785920 36.146416 5.869182 0.000000 0.000000 
31.061389 42.079674 6.832580 0.000000 0.000000 
31.985746 49.856119 8.095260 0.000000 0.000000 
32.521475 59.909169 9.727598 0.000000 0.000000 
32.641530 72.074471 11.702908 -0.000000 -0.000000 
32.281493 83.644961 13.581637 0.000000 0.000000 
8.165543 22.688390 3.683969 0.000000 0.000000 
9.104769 22.882612 3.715506 0.000000 0.000000 
10.376704 22.016795 3.574921 0.000000 0.000000 
11.959232 21.193153 3.441184 -0.000000 0.000000 
13.795317 20.795482 3.376613 0.000000 0.000000 
