vTEC sTEC IonoDelay err_vTEC err_sTEC 
58.226034 79.939073 12.979903 0.000000 -0.000000 
61.836113 86.291608 14.011380 -0.000000 -0.000000 
64.957557 95.502131 15.506915 -0.000000 0.000000 
64.803130 119.655002 19.428676 0.000000 0.000000 
67.109896 141.041388 22.901235 0.000000 -0.000000 
69.130212 168.303969 27.327927 0.000000 -0.000000 
71.037088 194.202657 31.533161 0.000000 -0.000000 
32.732075 87.200725 14.158995 0.000000 0.000000 
35.861980 83.722065 13.594157 0.000000 -0.000000 
40.232879 81.218411 13.187632 -0.000000 -0.000000 
45.120057 80.782538 13.116858 0.000000 0.000000 
50.002608 82.570457 13.407167 -0.000000 0.000000 
54.549521 86.744849 14.084973 0.000000 -0.000000 
58.573812 93.737159 15.220332 -0.000000 -0.000000 
61.991538 104.322596 16.939115 0.000000 0.000000 
59.525602 128.209540 20.817697 -0.000000 0.000000 
62.272121 151.790761 24.646637 -0.000000 -0.000000 
65.669262 178.777467 29.028535 -0.000000 -0.000000 
33.837596 94.037620 15.269118 -0.000000 -0.000000 
36.602442 93.035171 15.106348 0.000000 0.000000 
40.734870 91.252310 14.816861 0.000000 -0.000000 
45.345200 91.422401 14.844479 0.000000 0.000000 
49.767246 94.428986 15.332666 0.000000 -0.000000 
53.621991 100.845418 16.374517 0.000000 -0.000000 
56.811005 111.618601 18.123785 -0.000000 0.000000 
52.747941 131.548403 21.359836 0.000000 0.000000 
57.030185 155.259097 25.209800 0.000000 0.000000 
37.437510 101.604661 16.497797 -0.000000 -0.000000 
40.359098 100.252403 16.278228 -0.000000 -0.000000 
43.697603 100.625610 16.338827 -0.000000 -0.000000 
46.844363 104.961730 17.042893 0.000000 -0.000000 
49.694060 114.711280 18.625951 0.000000 0.000000 
47.835307 131.643936 21.375348 0.000000 0.000000 
