vTEC sTEC IonoDelay  
23.222351 62.843585 10.204067 
25.653269 56.429239 9.162554 
28.996129 50.860424 8.258332 
31.811027 48.171335 7.821698 
28.519124 48.174553 7.822220 
30.082630 54.459795 8.842770 
30.531983 65.929915 10.705202 
30.169343 79.758935 12.950654 
20.496028 53.055141 8.614693 
23.058737 48.489689 7.873390 
26.062152 46.462667 7.544257 
24.433427 49.124879 7.976527 
26.146433 58.187465 9.448041 
26.407019 71.112416 11.546697 
18.866152 50.158003 8.144278 
21.493496 47.129139 7.652474 
21.157551 50.634429 8.221636 
22.736815 60.776202 9.868381 
18.493065 49.066076 7.966979 
19.273924 52.414943 8.510743 
124.163781 338.493633 54.962040 
125.330173 333.193493 54.101443 
125.319310 329.819556 53.553608 
123.520385 328.462108 53.333196 
119.690191 326.411768 53.000278 
121.433518 314.647169 51.090031 
123.891276 301.988207 49.034564 
125.322139 291.316812 47.301824 
125.401641 284.649292 46.219202 
123.880673 282.234278 45.827070 
120.734877 283.617707 46.051701 
116.235033 287.726065 46.718785 
110.949224 292.181531 47.442230 
105.539641 292.008146 47.414077 
118.104338 323.448635 52.519146 
119.319141 268.740708 43.636087 
121.794838 254.184160 41.272504 
123.224634 243.086512 39.470552 
123.504844 235.926560 38.307973 
122.576120 232.672480 37.779600 
120.438971 233.179523 37.861930 
117.163070 237.265493 38.525379 
112.892381 244.544091 39.707223 
107.823670 253.863276 41.220402 
102.084570 261.985125 42.539166 
95.379391 261.605468 42.477520 
111.695108 297.272767 48.268907 
115.915943 284.782363 46.240809 
115.799611 222.502690 36.128306 
118.268102 210.562529 34.189553 
119.956455 201.824582 32.770751 
120.791467 196.169221 31.852477 
120.678022 193.347286 31.394272 
119.508493 193.095483 31.353386 
117.187895 195.173645 31.690823 
113.665658 199.354409 32.369663 
108.957773 205.338693 33.341346 
103.138158 212.500054 34.504154 
96.276098 219.267932 35.603071 
88.306640 222.005239 36.047534 
78.907217 214.216551 34.782866 
99.862899 274.394569 44.554118 
104.443190 268.081203 43.529001 
108.778346 253.697233 41.193441 
112.611210 237.340316 38.537528 
112.328199 185.884779 30.182567 
115.047203 175.980249 28.574344 
116.802578 168.884832 27.422244 
117.391162 164.182341 26.658689 
116.598382 161.449771 26.214995 
114.251510 160.318428 26.031296 
110.276332 160.499452 26.060689 
104.732665 161.778464 26.268365 
97.810141 163.952853 26.621426 
89.778130 166.644298 27.058442 
80.897757 168.857522 27.417809 
71.326519 168.175746 27.307108 
61.119350 160.169406 26.007099 
50.562263 140.734307 22.851374 
88.879989 246.222017 39.979672 
94.672330 244.922401 39.768650 
99.867540 231.537187 37.595260 
104.614674 214.637178 34.851164 
108.808322 198.860074 32.289397 
105.644651 153.760115 24.966406 
107.504331 144.233138 23.419488 
107.709345 136.768240 22.207394 
106.067568 130.922569 21.258218 
102.504286 126.337196 20.513680 
97.120138 122.776497 19.935520 
90.199546 120.127729 19.505433 
82.162454 118.364630 19.219155 
73.477419 117.456860 19.071758 
64.566483 117.168007 19.024856 
55.734087 116.632023 18.937827 
47.172910 113.725261 18.465849 
39.155643 105.297062 17.097342 
77.339562 209.728439 34.054120 
85.592719 209.325991 33.988773 
92.283508 196.247373 31.865166 
97.863744 180.299933 29.275741 
102.362215 165.760653 26.914963 
89.901313 117.951781 19.152119 
89.686801 108.304436 17.585656 
87.434189 100.209302 16.271230 
83.321834 93.491969 15.180520 
77.686233 88.039623 14.295209 
70.979817 83.809740 13.608393 
63.690656 80.809216 13.121190 
56.264186 79.062967 12.837647 
49.055492 78.556435 12.755401 
42.314531 79.076386 12.839826 
36.201381 79.811957 12.959263 
30.857644 78.816414 12.797614 
26.508018 73.637808 11.956751 
60.030156 159.596625 25.914095 
70.316770 164.198407 26.661297 
78.269729 155.255537 25.209222 
84.151593 142.171513 23.084737 
88.041531 129.298640 20.994537 
67.768605 82.216853 13.349752 
66.435730 74.125849 12.035996 
